sample_id,true_angle_deg,baseline_angle_deg,scaffold_angle_deg,clutter_level,notes
angle_001,16.2,14.652801513671932,15.937780877551774,low,clutter_segments=1; nuisance_shapes=2; dark_distractors=0; ray_thickness=12
angle_002,18.9,15.546264648437472,16.619654152627305,low,clutter_segments=2; nuisance_shapes=3; dark_distractors=0; ray_thickness=12
angle_003,21.6,21.241451263427734,21.193131166318153,low,clutter_segments=1; nuisance_shapes=4; dark_distractors=0; ray_thickness=12
angle_004,24.3,23.686912536621122,23.366498434534606,low,clutter_segments=2; nuisance_shapes=2; dark_distractors=0; ray_thickness=12
angle_005,22.3,21.482494354248047,22.30409902352136,low,clutter_segments=1; nuisance_shapes=3; dark_distractors=0; ray_thickness=12
angle_006,25.0,22.313568115234375,23.952223342083016,low,clutter_segments=2; nuisance_shapes=4; dark_distractors=0; ray_thickness=12
angle_007,27.7,26.970279693603516,27.713963532485764,low,clutter_segments=1; nuisance_shapes=2; dark_distractors=0; ray_thickness=12
angle_008,30.4,31.62210464477539,30.746769693338592,low,clutter_segments=2; nuisance_shapes=3; dark_distractors=0; ray_thickness=12
angle_009,28.3,26.683631896972656,26.150441112224343,low,clutter_segments=1; nuisance_shapes=4; dark_distractors=0; ray_thickness=12
angle_010,31.0,28.062469482421875,29.064356140922087,low,clutter_segments=2; nuisance_shapes=2; dark_distractors=0; ray_thickness=12
angle_011,33.8,36.030717849731445,34.97738410515265,low,clutter_segments=1; nuisance_shapes=3; dark_distractors=0; ray_thickness=12
angle_012,36.5,36.858551025390625,35.577560055250046,low,clutter_segments=2; nuisance_shapes=4; dark_distractors=0; ray_thickness=12
angle_013,34.4,33.47968292236328,34.05992580728696,low,clutter_segments=1; nuisance_shapes=2; dark_distractors=0; ray_thickness=12
angle_014,37.1,39.0097541809082,37.1309318188616,low,clutter_segments=2; nuisance_shapes=3; dark_distractors=0; ray_thickness=12
angle_015,39.8,141.4911003112793,37.81559102295262,low,clutter_segments=1; nuisance_shapes=4; dark_distractors=0; ray_thickness=12
angle_016,42.5,42.72315216064453,33.63924287913318,low,clutter_segments=2; nuisance_shapes=2; dark_distractors=0; ray_thickness=12
angle_017,40.5,41.081787109375,41.064640987261356,low,clutter_segments=1; nuisance_shapes=3; dark_distractors=0; ray_thickness=12
angle_018,43.2,42.00957489013672,40.76973677580051,low,clutter_segments=2; nuisance_shapes=4; dark_distractors=0; ray_thickness=12
angle_019,45.9,48.26922607421875,46.87649391919825,low,clutter_segments=1; nuisance_shapes=2; dark_distractors=0; ray_thickness=12
angle_020,48.6,48.68667793273926,48.76527289091564,low,clutter_segments=2; nuisance_shapes=3; dark_distractors=0; ray_thickness=12
angle_021,46.5,45.37476348876953,47.960124909142735,low,clutter_segments=1; nuisance_shapes=4; dark_distractors=0; ray_thickness=12
angle_022,49.2,50.43492126464844,50.78418602500136,low,clutter_segments=2; nuisance_shapes=2; dark_distractors=0; ray_thickness=12
angle_023,51.9,50.42783546447754,51.08825659783082,low,clutter_segments=1; nuisance_shapes=3; dark_distractors=0; ray_thickness=12
angle_024,54.7,55.31489562988281,55.528843044319785,low,clutter_segments=2; nuisance_shapes=4; dark_distractors=0; ray_thickness=12
angle_025,52.6,57.89338827133179,51.74309792841541,medium,clutter_segments=2; nuisance_shapes=3; dark_distractors=0; ray_thickness=12
angle_026,55.3,50.44232368469238,54.865733579878736,medium,clutter_segments=3; nuisance_shapes=4; dark_distractors=0; ray_thickness=12
angle_027,58.0,55.98826599121091,56.73114797905089,medium,clutter_segments=2; nuisance_shapes=5; dark_distractors=0; ray_thickness=12
angle_028,60.7,63.321813106536865,60.87176849706759,medium,clutter_segments=3; nuisance_shapes=3; dark_distractors=0; ray_thickness=12
angle_029,58.6,60.23078536987302,59.568320520948404,medium,clutter_segments=2; nuisance_shapes=4; dark_distractors=0; ray_thickness=12
angle_030,61.4,59.82836914062497,61.26846962251469,medium,clutter_segments=3; nuisance_shapes=5; dark_distractors=0; ray_thickness=12
angle_031,64.1,64.56243896484375,64.1925924177167,medium,clutter_segments=2; nuisance_shapes=3; dark_distractors=0; ray_thickness=12
angle_032,66.8,65.24858093261716,65.23289045326595,medium,clutter_segments=3; nuisance_shapes=4; dark_distractors=0; ray_thickness=12
angle_033,64.7,65.23881530761719,64.0984251960706,medium,clutter_segments=2; nuisance_shapes=5; dark_distractors=0; ray_thickness=12
angle_034,67.4,67.78363418579102,66.79042201290017,medium,clutter_segments=3; nuisance_shapes=3; dark_distractors=0; ray_thickness=12
angle_035,70.1,73.39093017578128,71.89821166156605,medium,clutter_segments=2; nuisance_shapes=4; dark_distractors=0; ray_thickness=12
angle_036,72.9,72.65531158447266,73.21127344633531,medium,clutter_segments=3; nuisance_shapes=5; dark_distractors=0; ray_thickness=12
angle_037,70.8,70.1501693725586,70.17133088814457,medium,clutter_segments=2; nuisance_shapes=3; dark_distractors=0; ray_thickness=12
angle_038,73.5,73.68420028686523,74.1107155199071,medium,clutter_segments=3; nuisance_shapes=4; dark_distractors=0; ray_thickness=12
angle_039,76.2,75.59008789062497,75.39183800465537,medium,clutter_segments=2; nuisance_shapes=5; dark_distractors=0; ray_thickness=12
angle_040,78.9,80.04875576496124,80.2069805835007,medium,clutter_segments=3; nuisance_shapes=3; dark_distractors=0; ray_thickness=12
angle_041,76.8,76.60126113891602,76.93498560623522,medium,clutter_segments=2; nuisance_shapes=4; dark_distractors=0; ray_thickness=12
angle_042,79.5,78.06065368652341,79.54352777549167,medium,clutter_segments=3; nuisance_shapes=5; dark_distractors=0; ray_thickness=12
angle_043,82.3,82.91572570800781,82.4503258296927,medium,clutter_segments=2; nuisance_shapes=3; dark_distractors=0; ray_thickness=12
angle_044,85.0,83.59409713745117,85.95240953950906,medium,clutter_segments=3; nuisance_shapes=4; dark_distractors=0; ray_thickness=12
angle_045,82.9,83.30787754058838,83.24728093456747,medium,clutter_segments=2; nuisance_shapes=5; dark_distractors=0; ray_thickness=12
angle_046,85.6,84.30797672271729,84.81405668951294,medium,clutter_segments=3; nuisance_shapes=3; dark_distractors=0; ray_thickness=12
angle_047,88.3,88.10767364501953,88.89817412168736,medium,clutter_segments=2; nuisance_shapes=4; dark_distractors=0; ray_thickness=12
angle_048,91.0,90.5620231628418,90.54586302202767,medium,clutter_segments=3; nuisance_shapes=5; dark_distractors=0; ray_thickness=12
angle_049,89.0,91.02690696716309,90.4905559676314,high,clutter_segments=3; nuisance_shapes=4; dark_distractors=1; ray_thickness=11
