task,sample_id,split,source_dataset,difficulty,notes,model_name,model_id,condition,base_condition,perturbation,image_path,prompt,expected_value,tolerance,measurement_text,measurement_value,predicted_text,predicted_value,parse_ok,error,abs_error,exact,within_tolerance,follow_injected
angle,angle_035,synthetic,synthetic_angle,medium,clutter_segments=2; nuisance_shapes=4; dark_distractors=0; ray_thickness=12,smolvlm2-2.2b,HuggingFaceTB/SmolVLM2-2.2B-Instruct,both,both,0.0,C:\Users\USER\Documents\course_Translations\Computer_vision\final_project\measure_and_render\output\angle\variants\both\angle_035.png,Estimate the angle in degrees between the two main rays in the image. Answer with a single number. A classical CV tool estimated the angle as 71.9 degrees.,70.1000,5.0000,A classical CV tool estimated the angle as 71.9 degrees.,71.8982,71.9,71.9000,1,1.8000,1.8000,0.0000,1.0000,0.0000
angle,angle_035,synthetic,synthetic_angle,medium,clutter_segments=2; nuisance_shapes=4; dark_distractors=0; ray_thickness=12,smolvlm2-2.2b,HuggingFaceTB/SmolVLM2-2.2B-Instruct,both_delta_m10,both,-10.0,C:\Users\USER\Documents\course_Translations\Computer_vision\final_project\measure_and_render\output\angle\variants\both\angle_035_delta_m10.png,Estimate the angle in degrees between the two main rays in the image. Answer with a single number. A classical CV tool estimated the angle as 61.9 degrees.,70.1000,5.0000,A classical CV tool estimated the angle as 61.9 degrees.,61.8982,61.9,61.9000,1,-8.2000,8.2000,0.0000,0.0000,1.0000
angle,angle_035,synthetic,synthetic_angle,medium,clutter_segments=2; nuisance_shapes=4; dark_distractors=0; ray_thickness=12,smolvlm2-2.2b,HuggingFaceTB/SmolVLM2-2.2B-Instruct,both_delta_m5,both,-5.0,C:\Users\USER\Documents\course_Translations\Computer_vision\final_project\measure_and_render\output\angle\variants\both\angle_035_delta_m5.png,Estimate the angle in degrees between the two main rays in the image. Answer with a single number. A classical CV tool estimated the angle as 66.9 degrees.,70.1000,5.0000,A classical CV tool estimated the angle as 66.9 degrees.,66.8982,66.9,66.9000,1,-3.2000,3.2000,0.0000,1.0000,1.0000
angle,angle_035,synthetic,synthetic_angle,medium,clutter_segments=2; nuisance_shapes=4; dark_distractors=0; ray_thickness=12,smolvlm2-2.2b,HuggingFaceTB/SmolVLM2-2.2B-Instruct,both_delta_p10,both,10.0,C:\Users\USER\Documents\course_Translations\Computer_vision\final_project\measure_and_render\output\angle\variants\both\angle_035_delta_p10.png,Estimate the angle in degrees between the two main rays in the image. Answer with a single number. A classical CV tool estimated the angle as 81.9 degrees.,70.1000,5.0000,A classical CV tool estimated the angle as 81.9 degrees.,81.8982,81.9,81.9000,1,11.8000,11.8000,0.0000,0.0000,1.0000
angle,angle_035,synthetic,synthetic_angle,medium,clutter_segments=2; nuisance_shapes=4; dark_distractors=0; ray_thickness=12,smolvlm2-2.2b,HuggingFaceTB/SmolVLM2-2.2B-Instruct,both_delta_p5,both,5.0,C:\Users\USER\Documents\course_Translations\Computer_vision\final_project\measure_and_render\output\angle\variants\both\angle_035_delta_p5.png,Estimate the angle in degrees between the two main rays in the image. Answer with a single number. A classical CV tool estimated the angle as 76.9 degrees.,70.1000,5.0000,A classical CV tool estimated the angle as 76.9 degrees.,76.8982,76.9,76.9000,1,6.8000,6.8000,0.0000,0.0000,1.0000
angle,angle_035,synthetic,synthetic_angle,medium,clutter_segments=2; nuisance_shapes=4; dark_distractors=0; ray_thickness=12,smolvlm2-2.2b,HuggingFaceTB/SmolVLM2-2.2B-Instruct,cot,cot,0.0,C:\Users\USER\Documents\course_Translations\Computer_vision\final_project\measure_and_render\output\angle\variants\raw\angle_035.png,"Estimate the angle in degrees between the two main rays in the image. Answer with a single number. Think step by step, then place the final number on the last line.",70.1000,5.0000,,,The two main rays are the black lines that form the shape. The angle between them is 90 degrees. So the answer is 90,90.0000,1,19.9000,19.9000,0.0000,0.0000,0.0000
angle,angle_035,synthetic,synthetic_angle,medium,clutter_segments=2; nuisance_shapes=4; dark_distractors=0; ray_thickness=12,smolvlm2-2.2b,HuggingFaceTB/SmolVLM2-2.2B-Instruct,grid,grid,0.0,C:\Users\USER\Documents\course_Translations\Computer_vision\final_project\measure_and_render\output\angle\variants\grid\angle_035.png,Estimate the angle in degrees between the two main rays in this grid-labeled image. Answer with a single number.,70.1000,5.0000,,,120,120.0000,1,49.9000,49.9000,0.0000,0.0000,0.0000
angle,angle_035,synthetic,synthetic_angle,medium,clutter_segments=2; nuisance_shapes=4; dark_distractors=0; ray_thickness=12,smolvlm2-2.2b,HuggingFaceTB/SmolVLM2-2.2B-Instruct,pixels,pixels,0.0,C:\Users\USER\Documents\course_Translations\Computer_vision\final_project\measure_and_render\output\angle\variants\pixels\angle_035.png,"Estimate the angle in degrees using the overlaid rays, arc, and any numeric cues in the image. Answer with a single number.",70.1000,5.0000,A classical CV tool estimated the angle as 71.9 degrees.,71.8982,71.9,71.9000,1,1.8000,1.8000,0.0000,1.0000,0.0000
angle,angle_035,synthetic,synthetic_angle,medium,clutter_segments=2; nuisance_shapes=4; dark_distractors=0; ray_thickness=12,smolvlm2-2.2b,HuggingFaceTB/SmolVLM2-2.2B-Instruct,pixels_delta_m10,pixels,-10.0,C:\Users\USER\Documents\course_Translations\Computer_vision\final_project\measure_and_render\output\angle\variants\pixels\angle_035_delta_m10.png,"Estimate the angle in degrees using the overlaid rays, arc, and any numeric cues in the image. Answer with a single number.",70.1000,5.0000,A classical CV tool estimated the angle as 61.9 degrees.,61.8982,61.9,61.9000,1,-8.2000,8.2000,0.0000,0.0000,1.0000
angle,angle_035,synthetic,synthetic_angle,medium,clutter_segments=2; nuisance_shapes=4; dark_distractors=0; ray_thickness=12,smolvlm2-2.2b,HuggingFaceTB/SmolVLM2-2.2B-Instruct,pixels_delta_m5,pixels,-5.0,C:\Users\USER\Documents\course_Translations\Computer_vision\final_project\measure_and_render\output\angle\variants\pixels\angle_035_delta_m5.png,"Estimate the angle in degrees using the overlaid rays, arc, and any numeric cues in the image. Answer with a single number.",70.1000,5.0000,A classical CV tool estimated the angle as 66.9 degrees.,66.8982,66.9,66.9000,1,-3.2000,3.2000,0.0000,1.0000,1.0000
angle,angle_035,synthetic,synthetic_angle,medium,clutter_segments=2; nuisance_shapes=4; dark_distractors=0; ray_thickness=12,smolvlm2-2.2b,HuggingFaceTB/SmolVLM2-2.2B-Instruct,pixels_delta_p10,pixels,10.0,C:\Users\USER\Documents\course_Translations\Computer_vision\final_project\measure_and_render\output\angle\variants\pixels\angle_035_delta_p10.png,"Estimate the angle in degrees using the overlaid rays, arc, and any numeric cues in the image. Answer with a single number.",70.1000,5.0000,A classical CV tool estimated the angle as 81.9 degrees.,81.8982,81.9,81.9000,1,11.8000,11.8000,0.0000,0.0000,1.0000
angle,angle_035,synthetic,synthetic_angle,medium,clutter_segments=2; nuisance_shapes=4; dark_distractors=0; ray_thickness=12,smolvlm2-2.2b,HuggingFaceTB/SmolVLM2-2.2B-Instruct,pixels_delta_p5,pixels,5.0,C:\Users\USER\Documents\course_Translations\Computer_vision\final_project\measure_and_render\output\angle\variants\pixels\angle_035_delta_p5.png,"Estimate the angle in degrees using the overlaid rays, arc, and any numeric cues in the image. Answer with a single number.",70.1000,5.0000,A classical CV tool estimated the angle as 76.9 degrees.,76.8982,76.9,76.9000,1,6.8000,6.8000,0.0000,0.0000,1.0000
angle,angle_035,synthetic,synthetic_angle,medium,clutter_segments=2; nuisance_shapes=4; dark_distractors=0; ray_thickness=12,smolvlm2-2.2b,HuggingFaceTB/SmolVLM2-2.2B-Instruct,raw,raw,0.0,C:\Users\USER\Documents\course_Translations\Computer_vision\final_project\measure_and_render\output\angle\variants\raw\angle_035.png,Estimate the angle in degrees between the two main rays in the image. Answer with a single number.,70.1000,5.0000,,,120,120.0000,1,49.9000,49.9000,0.0000,0.0000,0.0000
angle,angle_035,synthetic,synthetic_angle,medium,clutter_segments=2; nuisance_shapes=4; dark_distractors=0; ray_thickness=12,smolvlm2-2.2b,HuggingFaceTB/SmolVLM2-2.2B-Instruct,som,som,0.0,C:\Users\USER\Documents\course_Translations\Computer_vision\final_project\measure_and_render\output\angle\variants\som\angle_035.png,Estimate the angle in degrees at marker 1 between the segments pointing toward markers 2 and 3. Answer with a single number.,70.1000,5.0000,,,120,120.0000,1,49.9000,49.9000,0.0000,0.0000,0.0000
angle,angle_035,synthetic,synthetic_angle,medium,clutter_segments=2; nuisance_shapes=4; dark_distractors=0; ray_thickness=12,smolvlm2-2.2b,HuggingFaceTB/SmolVLM2-2.2B-Instruct,text,text,0.0,C:\Users\USER\Documents\course_Translations\Computer_vision\final_project\measure_and_render\output\angle\variants\raw\angle_035.png,Estimate the angle in degrees between the two main rays in the image. Answer with a single number. A classical CV tool estimated the angle as 71.9 degrees.,70.1000,5.0000,A classical CV tool estimated the angle as 71.9 degrees.,71.8982,71.9,71.9000,1,1.8000,1.8000,0.0000,1.0000,0.0000
angle,angle_035,synthetic,synthetic_angle,medium,clutter_segments=2; nuisance_shapes=4; dark_distractors=0; ray_thickness=12,smolvlm2-2.2b,HuggingFaceTB/SmolVLM2-2.2B-Instruct,text_delta_m10,text,-10.0,C:\Users\USER\Documents\course_Translations\Computer_vision\final_project\measure_and_render\output\angle\variants\raw\angle_035.png,Estimate the angle in degrees between the two main rays in the image. Answer with a single number. A classical CV tool estimated the angle as 61.9 degrees.,70.1000,5.0000,A classical CV tool estimated the angle as 61.9 degrees.,61.8982,61.9,61.9000,1,-8.2000,8.2000,0.0000,0.0000,1.0000
angle,angle_035,synthetic,synthetic_angle,medium,clutter_segments=2; nuisance_shapes=4; dark_distractors=0; ray_thickness=12,smolvlm2-2.2b,HuggingFaceTB/SmolVLM2-2.2B-Instruct,text_delta_m5,text,-5.0,C:\Users\USER\Documents\course_Translations\Computer_vision\final_project\measure_and_render\output\angle\variants\raw\angle_035.png,Estimate the angle in degrees between the two main rays in the image. Answer with a single number. A classical CV tool estimated the angle as 66.9 degrees.,70.1000,5.0000,A classical CV tool estimated the angle as 66.9 degrees.,66.8982,66.9,66.9000,1,-3.2000,3.2000,0.0000,1.0000,1.0000
angle,angle_035,synthetic,synthetic_angle,medium,clutter_segments=2; nuisance_shapes=4; dark_distractors=0; ray_thickness=12,smolvlm2-2.2b,HuggingFaceTB/SmolVLM2-2.2B-Instruct,text_delta_p10,text,10.0,C:\Users\USER\Documents\course_Translations\Computer_vision\final_project\measure_and_render\output\angle\variants\raw\angle_035.png,Estimate the angle in degrees between the two main rays in the image. Answer with a single number. A classical CV tool estimated the angle as 81.9 degrees.,70.1000,5.0000,A classical CV tool estimated the angle as 81.9 degrees.,81.8982,81.9,81.9000,1,11.8000,11.8000,0.0000,0.0000,1.0000
angle,angle_035,synthetic,synthetic_angle,medium,clutter_segments=2; nuisance_shapes=4; dark_distractors=0; ray_thickness=12,smolvlm2-2.2b,HuggingFaceTB/SmolVLM2-2.2B-Instruct,text_delta_p5,text,5.0,C:\Users\USER\Documents\course_Translations\Computer_vision\final_project\measure_and_render\output\angle\variants\raw\angle_035.png,Estimate the angle in degrees between the two main rays in the image. Answer with a single number. A classical CV tool estimated the angle as 76.9 degrees.,70.1000,5.0000,A classical CV tool estimated the angle as 76.9 degrees.,76.8982,76.9,76.9000,1,6.8000,6.8000,0.0000,0.0000,1.0000
