task,split,source_dataset,model_name,model_id,condition,base_condition,perturbation,sample_count,parse_rate,exact_accuracy,tolerance_accuracy,mae,rmse,bias,mae_ci_low,mae_ci_high,follow_rate
angle,synthetic,synthetic_angle,qwen2.5-vl-3b,Qwen/Qwen2.5-VL-3B-Instruct,both,both,0.0,96,1.0000,0.0417,0.9271,2.9885,14.4668,-1.7510,1.1832,6.0509,0.0000
angle,synthetic,synthetic_angle,qwen2.5-vl-3b,Qwen/Qwen2.5-VL-3B-Instruct,both_delta_m10,both,-10.0,96,1.0000,0.0000,0.0104,11.9198,18.5685,-11.7615,10.1208,15.0491,0.9479
angle,synthetic,synthetic_angle,qwen2.5-vl-3b,Qwen/Qwen2.5-VL-3B-Instruct,both_delta_m5,both,-5.0,96,1.0000,0.0000,0.4688,6.9219,15.7975,-6.6240,5.1936,10.0098,0.9271
angle,synthetic,synthetic_angle,qwen2.5-vl-3b,Qwen/Qwen2.5-VL-3B-Instruct,both_delta_p10,both,10.0,96,1.0000,0.0000,0.0417,10.9312,16.5571,8.2250,9.2760,13.7178,0.9167
angle,synthetic,synthetic_angle,qwen2.5-vl-3b,Qwen/Qwen2.5-VL-3B-Instruct,both_delta_p5,both,5.0,96,1.0000,0.0000,0.5625,6.3312,14.7334,3.3479,4.6416,9.2719,0.9375
angle,synthetic,synthetic_angle,qwen2.5-vl-3b,Qwen/Qwen2.5-VL-3B-Instruct,cot,cot,0.0,96,1.0000,0.0000,0.0312,71.3250,84.2834,-41.6667,62.4811,80.2267,0.0000
angle,synthetic,synthetic_angle,qwen2.5-vl-3b,Qwen/Qwen2.5-VL-3B-Instruct,grid,grid,0.0,96,1.0000,0.0000,0.0729,52.7292,63.7075,33.9063,45.7670,59.6837,0.0000
angle,synthetic,synthetic_angle,qwen2.5-vl-3b,Qwen/Qwen2.5-VL-3B-Instruct,pixels,pixels,0.0,96,1.0000,0.0521,0.9583,2.7698,14.3937,-1.4781,1.0312,5.8594,0.0000
angle,synthetic,synthetic_angle,qwen2.5-vl-3b,Qwen/Qwen2.5-VL-3B-Instruct,pixels_delta_m10,pixels,-10.0,96,1.0000,0.0000,0.0208,11.6906,18.4263,-11.1010,9.9155,14.7545,0.9375
angle,synthetic,synthetic_angle,qwen2.5-vl-3b,Qwen/Qwen2.5-VL-3B-Instruct,pixels_delta_m5,pixels,-5.0,96,1.0000,0.0000,0.4583,11.8094,44.3614,-2.6635,5.5441,21.5855,0.9271
angle,synthetic,synthetic_angle,qwen2.5-vl-3b,Qwen/Qwen2.5-VL-3B-Instruct,pixels_delta_p10,pixels,10.0,96,1.0000,0.0000,0.0104,11.7667,17.4952,8.6250,9.8531,14.7026,0.9583
angle,synthetic,synthetic_angle,qwen2.5-vl-3b,Qwen/Qwen2.5-VL-3B-Instruct,pixels_delta_p5,pixels,5.0,96,1.0000,0.0000,0.5312,11.9115,54.0792,8.4802,4.9822,23.9589,0.9688
angle,synthetic,synthetic_angle,qwen2.5-vl-3b,Qwen/Qwen2.5-VL-3B-Instruct,raw,raw,0.0,96,1.0000,0.0000,0.0729,49.9438,60.7715,37.6563,43.2156,56.8834,0.0000
angle,synthetic,synthetic_angle,qwen2.5-vl-3b,Qwen/Qwen2.5-VL-3B-Instruct,som,som,0.0,96,1.0000,0.0000,0.1042,38.8375,48.7214,-12.9688,33.2884,44.9181,0.0000
angle,synthetic,synthetic_angle,qwen2.5-vl-3b,Qwen/Qwen2.5-VL-3B-Instruct,text,text,0.0,96,1.0000,0.0312,0.9062,3.0219,11.9124,1.0031,1.4604,5.6045,0.0000
angle,synthetic,synthetic_angle,qwen2.5-vl-3b,Qwen/Qwen2.5-VL-3B-Instruct,text_delta_m10,text,-10.0,96,1.0000,0.0000,0.0417,11.8948,18.6780,-11.1260,9.9749,15.1273,0.8542
angle,synthetic,synthetic_angle,qwen2.5-vl-3b,Qwen/Qwen2.5-VL-3B-Instruct,text_delta_m5,text,-5.0,96,1.0000,0.0000,0.5312,7.1292,16.1024,-6.0187,5.2125,10.3198,0.7604
angle,synthetic,synthetic_angle,qwen2.5-vl-3b,Qwen/Qwen2.5-VL-3B-Instruct,text_delta_p10,text,10.0,96,1.0000,0.0000,0.0312,11.9417,23.1010,11.9417,9.4802,16.2200,0.7604
