task,split,source_dataset,model_name,model_id,base_condition,abs_perturbation,sample_count,parse_rate,exact_accuracy,tolerance_accuracy,mae,rmse,bias,mae_ci_low,mae_ci_high,follow_rate
angle,synthetic,synthetic_angle,qwen2.5-vl-3b,Qwen/Qwen2.5-VL-3B-Instruct,both,5.0,192,1.0000,0.0000,0.5156,6.6266,15.2747,-1.6380,5.0764,8.7898,0.9323
angle,synthetic,synthetic_angle,qwen2.5-vl-3b,Qwen/Qwen2.5-VL-3B-Instruct,both,10.0,192,1.0000,0.0000,0.0260,11.4255,17.5916,-1.7682,9.9067,13.5094,0.9323
angle,synthetic,synthetic_angle,qwen2.5-vl-3b,Qwen/Qwen2.5-VL-3B-Instruct,pixels,5.0,192,1.0000,0.0000,0.4948,11.8604,49.4595,2.9083,6.1005,19.3387,0.9479
angle,synthetic,synthetic_angle,qwen2.5-vl-3b,Qwen/Qwen2.5-VL-3B-Instruct,pixels,10.0,192,1.0000,0.0000,0.0156,11.7286,17.9668,-1.2380,10.1083,13.8363,0.9479
angle,synthetic,synthetic_angle,qwen2.5-vl-3b,Qwen/Qwen2.5-VL-3B-Instruct,text,5.0,192,1.0000,0.0000,0.5521,8.4807,28.7306,0.4036,5.2818,12.9634,0.7708
angle,synthetic,synthetic_angle,qwen2.5-vl-3b,Qwen/Qwen2.5-VL-3B-Instruct,text,10.0,192,1.0000,0.0000,0.0365,11.9182,21.0062,0.4078,10.0088,14.6435,0.8073
angle,synthetic,synthetic_angle,smolvlm2-2.2b,HuggingFaceTB/SmolVLM2-2.2B-Instruct,both,5.0,4,1.0000,0.0000,0.5000,5.0000,5.1614,1.0000,3.6000,6.3000,1.0000
angle,synthetic,synthetic_angle,smolvlm2-2.2b,HuggingFaceTB/SmolVLM2-2.2B-Instruct,both,10.0,4,1.0000,0.0000,0.0000,10.0000,10.0817,1.0000,8.6000,11.3000,1.0000
angle,synthetic,synthetic_angle,smolvlm2-2.2b,HuggingFaceTB/SmolVLM2-2.2B-Instruct,pixels,5.0,4,1.0000,0.0000,0.5000,5.0000,5.1614,1.0000,3.6000,6.3000,1.0000
angle,synthetic,synthetic_angle,smolvlm2-2.2b,HuggingFaceTB/SmolVLM2-2.2B-Instruct,pixels,10.0,4,1.0000,0.0000,0.0000,10.0000,10.0817,1.0000,8.6000,11.3000,1.0000
angle,synthetic,synthetic_angle,smolvlm2-2.2b,HuggingFaceTB/SmolVLM2-2.2B-Instruct,text,5.0,4,1.0000,0.0000,0.5000,5.0000,5.1614,1.0000,3.6000,6.3000,1.0000
angle,synthetic,synthetic_angle,smolvlm2-2.2b,HuggingFaceTB/SmolVLM2-2.2B-Instruct,text,10.0,4,1.0000,0.0000,0.0000,10.0000,10.0817,1.0000,8.6000,11.3000,1.0000
