label_slug,label_name,reference_filename,source_url,product_url,filename,expected_status,defect_type,description
king_cookies,KING Cookies,king_cookies_reference.png,https://images.openfoodfacts.net/images/products/611/125/934/3108/front_fr.25.400.jpg,https://world.openfoodfacts.org/product/6111259343108,king_cookies__ok_pose_a.png,PASS,none,KING Cookies: Normal package front with pose variation only.
king_cookies,KING Cookies,king_cookies_reference.png,https://images.openfoodfacts.net/images/products/611/125/934/3108/front_fr.25.400.jpg,https://world.openfoodfacts.org/product/6111259343108,king_cookies__ok_pose_b.png,PASS,none,KING Cookies: Normal package front with pose variation only.
king_cookies,KING Cookies,king_cookies_reference.png,https://images.openfoodfacts.net/images/products/611/125/934/3108/front_fr.25.400.jpg,https://world.openfoodfacts.org/product/6111259343108,king_cookies__fail_primary.png,FAIL,missing_print,KING Cookies: Missing print / erased label region.
king_cookies,KING Cookies,king_cookies_reference.png,https://images.openfoodfacts.net/images/products/611/125/934/3108/front_fr.25.400.jpg,https://world.openfoodfacts.org/product/6111259343108,king_cookies__fail_secondary.png,FAIL,stain,KING Cookies: Surface contamination or stain on the package front.
weetabix,Weetabix,weetabix_reference.png,https://images.openfoodfacts.net/images/products/501/002/900/0016/front_en.44.400.jpg,https://world.openfoodfacts.org/product/5010029000016,weetabix__ok_pose_a.png,PASS,none,Weetabix: Normal package front with pose variation only.
weetabix,Weetabix,weetabix_reference.png,https://images.openfoodfacts.net/images/products/501/002/900/0016/front_en.44.400.jpg,https://world.openfoodfacts.org/product/5010029000016,weetabix__ok_pose_b.png,PASS,none,Weetabix: Normal package front with pose variation only.
weetabix,Weetabix,weetabix_reference.png,https://images.openfoodfacts.net/images/products/501/002/900/0016/front_en.44.400.jpg,https://world.openfoodfacts.org/product/5010029000016,weetabix__fail_primary.png,FAIL,scratch,Weetabix: Linear scratch across the front label.
weetabix,Weetabix,weetabix_reference.png,https://images.openfoodfacts.net/images/products/501/002/900/0016/front_en.44.400.jpg,https://world.openfoodfacts.org/product/5010029000016,weetabix__fail_secondary.png,FAIL,corner_damage,Weetabix: Corner tear or crushed package edge.
pringles_original,Pringles Original,pringles_original_reference.png,https://images.openfoodfacts.net/images/products/505/399/010/1573/front_en.44.400.jpg,https://world.openfoodfacts.org/product/5053990101573,pringles_original__ok_pose_a.png,PASS,none,Pringles Original: Normal package front with pose variation only.
pringles_original,Pringles Original,pringles_original_reference.png,https://images.openfoodfacts.net/images/products/505/399/010/1573/front_en.44.400.jpg,https://world.openfoodfacts.org/product/5053990101573,pringles_original__ok_pose_b.png,PASS,none,Pringles Original: Normal package front with pose variation only.
pringles_original,Pringles Original,pringles_original_reference.png,https://images.openfoodfacts.net/images/products/505/399/010/1573/front_en.44.400.jpg,https://world.openfoodfacts.org/product/5053990101573,pringles_original__fail_primary.png,FAIL,missing_print,Pringles Original: Missing print / erased label region.
pringles_original,Pringles Original,pringles_original_reference.png,https://images.openfoodfacts.net/images/products/505/399/010/1573/front_en.44.400.jpg,https://world.openfoodfacts.org/product/5053990101573,pringles_original__fail_secondary.png,FAIL,scratch,Pringles Original: Linear scratch across the front label.
green_tea,Jasmine Green Tea,green_tea_reference.png,https://images.openfoodfacts.net/images/products/692/381/881/2082/front_en.5.400.jpg,https://world.openfoodfacts.org/product/6923818812082,green_tea__ok_pose_a.png,PASS,none,Jasmine Green Tea: Normal package front with pose variation only.
green_tea,Jasmine Green Tea,green_tea_reference.png,https://images.openfoodfacts.net/images/products/692/381/881/2082/front_en.5.400.jpg,https://world.openfoodfacts.org/product/6923818812082,green_tea__ok_pose_b.png,PASS,none,Jasmine Green Tea: Normal package front with pose variation only.
green_tea,Jasmine Green Tea,green_tea_reference.png,https://images.openfoodfacts.net/images/products/692/381/881/2082/front_en.5.400.jpg,https://world.openfoodfacts.org/product/6923818812082,green_tea__fail_primary.png,FAIL,stain,Jasmine Green Tea: Surface contamination or stain on the package front.
green_tea,Jasmine Green Tea,green_tea_reference.png,https://images.openfoodfacts.net/images/products/692/381/881/2082/front_en.5.400.jpg,https://world.openfoodfacts.org/product/6923818812082,green_tea__fail_secondary.png,FAIL,corner_damage,Jasmine Green Tea: Corner tear or crushed package edge.
lindt_90,Lindt 90% Cocoa,lindt_90_reference.png,https://images.openfoodfacts.net/images/products/304/692/002/9759/front_en.492.400.jpg,https://world.openfoodfacts.org/product/3046920029759,lindt_90__ok_pose_a.png,PASS,none,Lindt 90% Cocoa: Normal package front with pose variation only.
lindt_90,Lindt 90% Cocoa,lindt_90_reference.png,https://images.openfoodfacts.net/images/products/304/692/002/9759/front_en.492.400.jpg,https://world.openfoodfacts.org/product/3046920029759,lindt_90__ok_pose_b.png,PASS,none,Lindt 90% Cocoa: Normal package front with pose variation only.
lindt_90,Lindt 90% Cocoa,lindt_90_reference.png,https://images.openfoodfacts.net/images/products/304/692/002/9759/front_en.492.400.jpg,https://world.openfoodfacts.org/product/3046920029759,lindt_90__fail_primary.png,FAIL,missing_print,Lindt 90% Cocoa: Missing print / erased label region.
lindt_90,Lindt 90% Cocoa,lindt_90_reference.png,https://images.openfoodfacts.net/images/products/304/692/002/9759/front_en.492.400.jpg,https://world.openfoodfacts.org/product/3046920029759,lindt_90__fail_secondary.png,FAIL,scratch,Lindt 90% Cocoa: Linear scratch across the front label.
